"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"17.02.2023 09:55","Moktar Daddah street 45722, Nairobi 00100","300.00","14.45","0.00","0.00","0.00","Ksh","Cash","17.02.2023 10:12","6.00","Finished"
"17.02.2023 09:30","Elgeyo Marakwet North, Nairobi","360.00","17.13","0.00","0.00","0.00","Ksh","Cash","17.02.2023 09:55","6.00","Finished"
"17.02.2023 09:00","City Hall Way, Nairobi","370.00","17.46","0.00","0.00","0.00","Ksh","Cash","17.02.2023 09:24","7.00","Finished"
"17.02.2023 08:10","Green Court, Nairobi","530.00","25.01","0.00","0.00","0.00","Ksh","Cash","17.02.2023 08:58","11.00","Finished"
"15.02.2023 21:06","Mbuni Drive, Nairobi","240.00","11.57","0.00","0.00","0.00","Ksh","Cash","15.02.2023 21:24","4.00","Finished"
"15.02.2023 20:41","Mirema swimming pool, swimmo, Kenya","270.00","12.86","0.00","0.00","0.00","Ksh","Cash","15.02.2023 21:04","6.00","Finished"
"15.02.2023 20:11","Jacaranda Estate, Nairobi","260.00","12.58","0.00","0.00","0.00","Ksh","Cash","15.02.2023 20:28","4.00","Finished"
"15.02.2023 19:34","1st Hunters' Link Road, Nairobi","450.00","21.57","0.00","0.00","0.00","Ksh","Cash","15.02.2023 20:12","8.00","Finished"
"15.02.2023 18:48","Lumumba Drive, Nairobi 00100","320.00","15.36","0.00","0.00","0.00","Ksh","Cash","15.02.2023 19:15","5.00","Finished"
"15.02.2023 14:50","Lumumba Drive, Nairobi 00100","960.00","44.24","0.00","0.00","0.00","Ksh","Cash","15.02.2023 15:47","22.00","Finished"
"12.02.2023 22:37","Amani Court Road 8, Nairobi","1410.00","62.25","0.00","0.00","0.00","Ksh","Cash","12.02.2023 23:24","27.00","Finished"
"12.02.2023 22:02","Katani Road","330.00","15.84","0.00","0.00","0.00","Ksh","Cash","12.02.2023 22:29","3.00","Finished"
"12.02.2023 21:24","Nation Centre Building, Kimathi Street, Nairobi","830.00","38.11","0.00","0.00","0.00","Ksh","Cash","12.02.2023 21:52","20.00","Finished"
"12.02.2023 20:40","Ruaka, Kenya","690.00","32.76","0.00","0.00","0.00","Ksh","Cash","12.02.2023 21:23","16.00","Finished"
"12.02.2023 19:40","Kirichwa Gardens, Nairobi","740.00","34.85","0.00","0.00","0.00","Ksh","Cash","12.02.2023 20:16","18.00","Finished"
"12.02.2023 19:15","Rose Avenue, Nairobi","210.00","10.00","0.00","0.00","0.00","Ksh","Cash","12.02.2023 19:39","3.00","Finished"
"12.02.2023 18:15","Njiru, Nairobi","930.00","44.48","0.00","0.00","0.00","Ksh","Cash","12.02.2023 19:10","4.00","Finished"
"12.02.2023 17:09","Njiru, Nairobi","390.00","18.54","0.00","0.00","0.00","Ksh","Cash","12.02.2023 17:59","6.00","Finished"
"12.02.2023 16:41","Umoja, Nairobi","360.00","17.34","0.00","0.00","0.00","Ksh","Cash","12.02.2023 17:10","7.00","Finished"
"12.02.2023 16:12","Transline Galaxy Afya Centre Booking office, Nairobi, Kenya","470.00","22.58","0.00","0.00","0.00","Ksh","Cash","12.02.2023 16:37","10.00","Finished"
"12.02.2023 15:44","Moi Drive, Nairobi","440.00","21.09","0.00","0.00","0.00","Ksh","Cash","12.02.2023 16:11","10.00","Finished"
"12.02.2023 15:16","Hamza Road, Nairobi","250.00","11.94","0.00","0.00","0.00","Ksh","Cash","12.02.2023 15:46","4.00","Finished"
"12.02.2023 14:49","Thika Road","680.00","31.90","0.00","0.00","0.00","Ksh","Cash","12.02.2023 15:14","18.00","Finished"
"12.02.2023 14:17","Haile Selassie Avenue, Nairobi","790.00","36.50","0.00","0.00","0.00","Ksh","Cash","12.02.2023 14:46","17.00","Finished"
"12.02.2023 13:35","Beatriz La Roca Apartments, Nairobi, Kenya","620.00","29.45","0.00","0.00","0.00","Ksh","Cash","12.02.2023 14:17","15.00","Finished"
"12.02.2023 12:53","Nairobi, Kenya","340.00","16.18","0.00","0.00","0.00","Ksh","Cash","12.02.2023 13:14","6.00","Finished"
"12.02.2023 12:41","Pedestrian Entrance, Garden City Mall","220.00","10.71","0.00","0.00","0.00","Ksh","Cash","12.02.2023 12:51","4.00","Finished"
"12.02.2023 12:31","Ponderosa Heights, A2, Nairobi, Kenya","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","12.02.2023 12:41","2.00","Finished"
"12.02.2023 11:43","Thika Road, Nairobi","250.00","12.05","0.00","0.00","0.00","Ksh","Cash","12.02.2023 11:59","5.00","Finished"
"12.02.2023 10:53","Agip House, Nairobi","490.00","23.44","0.00","0.00","0.00","Ksh","Cash","12.02.2023 11:08","7.00","Finished"
"12.02.2023 10:37","Haile Selassie Avenue, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","12.02.2023 10:42","2.00","Finished"
"12.02.2023 10:02","Olive Gardens Apartments, Nairobi, Kenya","410.00","19.29","0.00","0.00","0.00","Ksh",Bolt Payment,"12.02.2023 10:25","9.00","Finished"
"12.02.2023 09:22","Muthangari, Nairobi","360.00","17.22","0.00","0.00","0.00","Ksh","Cash","12.02.2023 09:52","8.00","Finished"
"12.02.2023 08:55","Thiomi Ltd, State House Road, Nairobi, Kenya","280.00","13.43","0.00","0.00","0.00","Ksh","Cash","12.02.2023 09:14","4.00","Finished"
"12.02.2023 08:31","Donholm, Nairobi","470.00","22.26","0.00","0.00","0.00","Ksh","Cash","12.02.2023 08:52","11.00","Finished"
"11.02.2023 17:15","Lamu Road, Nairobi","430.00","20.44","0.00","0.00","0.00","Ksh","Cash","11.02.2023 17:46","9.00","Finished"
"11.02.2023 16:51","HABADO APARTMENTS, Daidai Road, Nairobi, Kenya","260.00","12.33","0.00","0.00","0.00","Ksh","Cash","11.02.2023 17:07","4.00","Finished"
"11.02.2023 16:33","Mwanzi Road Westgate Mall, Nairobi 00100","470.00","22.32","0.00","0.00","0.00","Ksh","Cash","11.02.2023 16:52","10.00","Finished"
"11.02.2023 14:22","Ngong Road, Nairobi","660.00","31.21","0.00","0.00","0.00","Ksh","Cash","11.02.2023 15:05","15.00","Finished"
"11.02.2023 13:39","USHIRIKA TOWERS TWO, Mweni Road, Nairobi, Kenya","560.00","26.53","0.00","0.00","0.00","Ksh","Cash","11.02.2023 14:17","11.00","Finished"
"11.02.2023 11:45","Limuru Road, Nairobi","190.00","9.00","0.00","0.00","0.00","Ksh","Cash","11.02.2023 11:50","2.00","Finished"
"11.02.2023 11:17","Five Star Phase 2 Estate, Five Stars Road, Nairobi","410.00","19.47","0.00","0.00","0.00","Ksh","Cash","11.02.2023 11:42","7.00","Finished"
