"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"24.01.2023 06:39","Mara Savanah Chicken Cool, Nairobi City, Kenya","500.00","23.92","0.00","0.00","0.00","Ksh","Cash","24.01.2023 07:05","11.00","Finished"
"23.01.2023 08:24","Langata Road, Nairobi","290.00","13.42","0.00","0.00","0.00","Ksh","Cash","23.01.2023 08:51","5.00","Finished"
"23.01.2023 07:30","Nasra Gardens Estate, Kayole Spine Road, Nairobi","550.00","26.03","0.00","0.00","0.00","Ksh","Cash","23.01.2023 08:16","11.00","Finished"
"23.01.2023 06:24","87 Parklands Road, Nairobi, Kenya","650.00","30.78","0.00","0.00","0.00","Ksh","Cash","23.01.2023 07:09","17.00","Finished"
"23.01.2023 06:00","Doonholm Road, Nairobi","620.00","29.55","0.00","0.00","0.00","Ksh","Cash","23.01.2023 06:29","15.00","Finished"
"22.01.2023 21:01","Quiver Lounge - Thika Road, Thika Road, Nairobi","460.00","21.94","0.00","0.00","0.00","Ksh","Cash","22.01.2023 21:24","11.00","Finished"
"22.01.2023 20:47","Lumumba 1st Avenue, Nairobi","280.00","12.97","0.00","0.00","0.00","Ksh","Cash","22.01.2023 20:58","4.00","Finished"
"22.01.2023 19:43","Greystone apartments, Mtama Road, Nairobi, Kenya","500.00","23.67","0.00","0.00","0.00","Ksh","Cash","22.01.2023 20:07","11.00","Finished"
"22.01.2023 19:07","9th Street, Nairobi, Kenya","400.00","19.20","0.00","0.00","0.00","Ksh","Cash","22.01.2023 19:41","7.00","Finished"
"22.01.2023 17:53","Limuru Road , Two Rivers Mall","760.00","33.48","50.00","0.00","0.00","Ksh","Cash","22.01.2023 19:03","14.00","Finished"
"22.01.2023 15:36","Limuru Road, Nairobi","660.00","31.26","0.00","0.00","0.00","Ksh","Cash","22.01.2023 16:18","14.00","Finished"
"22.01.2023 14:11","Ole Villas, Nairobi","630.00","27.60","50.00","0.00","0.00","Ksh","Cash","22.01.2023 14:48","13.00","Finished"
"22.01.2023 13:34","Nairobi, Kenya","490.00","22.96","0.00","0.00","0.00","Ksh","Cash","22.01.2023 14:04","11.00","Finished"
"22.01.2023 13:20","Likoni Road, Nairobi","230.00","10.92","0.00","0.00","0.00","Ksh","Cash","22.01.2023 13:34","4.00","Finished"
"22.01.2023 12:58","Golf View Apartments, Mucai Drive, Nairobi","410.00","19.52","0.00","0.00","0.00","Ksh","Cash","22.01.2023 13:19","9.00","Finished"
